parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
NODE_0002726	France/IDF2279/2020	Belgium	France	2020.1953551912568	0.0	2.0	0.0002575328354365182	0.017241379310344827
NODE_0002733	NODE_0002740	Italy	USA	2020.164903587078	0.006864122520028104	32.0	0.004120525366984291	0.003929273084479371
NODE_0002753	Belgium/ITM_C511/2020	Democratic Republic of the Congo	Belgium	2020.2909836065573	0.06348040460966331	2.0	0.0002575328354365182	0.0045871559633027525
NODE_0002761	NODE_0002767	USA	Brazil	2020.200819672131	0.008558343310824057	26.0	0.003347926860674736	0.05555555555555555
NODE_0002777	Switzerland/GE2164/2020	France	Switzerland	2020.2117486338798	0.0	2.0	0.0002575328354365182	0.020833333333333332
NODE_0002202	NODE_0002781	Chile	Argentina	2020.2331178000393	0.005763199069633629	3295.0	0.42428534638166365	0.25
Finland/FIN03032020A/2020_travel_history	Finland/FIN03032020A/2020	Italy	Finland	2020.1734972677596	0.0	1.0	0.0001287664177182591	0.07142857142857142
NODE_0002780	Russia/Moscow-77627/2020	USA	Russia	2020.2254098360656	0.046619099459348945	2.0	0.0002575328354365182	0.013157894736842105
NODE_0002809	NODE_0002810	France	Luxembourg	2020.1884372039945	0.01165605861729091	6.0	0.0007725985063095545	0.08333333333333333
NODE_0002814	NODE_0002816	Greece	Germany	2020.1953551912568	0.005360869185324191	482.0	0.062065413340200874	0.02564102564102564
NODE_0002821	NODE_0002822	France	Canada	2020.1730689544763	0.02885735830136582	6.0	0.0007725985063095545	0.02127659574468085
NODE_0003164	NODE_0003291	USA	Austria	2020.1926229508197	0.034192581515981146	462.0	0.059490084985835696	0.06976744186046512
NODE_0002843	Poland/1104795/2020	France	Poland	2020.214480874317	0.0027322404371261655	2.0	0.0002575328354365182	0.09090909090909091
NODE_0002842	NODE_0002844	Japan	Netherlands	2020.1976364468262	0.011640804622857104	6.0	0.0007725985063095545	0.012987012987012988
NODE_0003187	Poland/PL_P7/2020	Canada	Poland	2020.2445355191257	0.06563719947712343	4.0	0.0005150656708730364	0.09090909090909091
Turkey/HSGM-4706/2020_travel_history	Turkey/HSGM-4706/2020	France	Turkey	2020.2117486338798	0.0	1.0	0.0001287664177182591	0.03571428571428571
Slovakia/SK-BMC5/2020_travel_history	Slovakia/SK-BMC5/2020	France	Slovakia	2020.181693989071	0.0	1.0	0.0001287664177182591	1.0
NODE_0002870	Gambia/GC19-029/2020	Senegal	Gambia	2020.3046448087432	0.07434127204624019	2.0	0.0002575328354365182	0.3333333333333333
NODE_0003229	NODE_0003230	Saudi Arabia	India	2020.2151585119702	0.010588511680907686	33.0	0.00424929178470255	0.011111111111111112
NODE_0002874	NODE_0002875	Switzerland	Belgium	2020.1753870079074	0.005702537999241031	26.0	0.003347926860674736	0.013761467889908258
NODE_0002879	NODE_0002880	Switzerland	Belgium	2020.2005198638287	0.011192507139867303	16.0	0.0020602626834921455	0.0045871559633027525
NODE_0002880	NODE_0002881	Belgium	Democratic Republic of the Congo	2020.2086785835638	0.017624415781256175	6.0	0.0007725985063095545	0.07692307692307693
NODE_0002886	NODE_0002887	Switzerland	France	2020.175483875474	0.008566429483835236	4.0	0.0005150656708730364	0.017241379310344827
NODE_0002891	NODE_0002892	Switzerland	Belgium	2020.1750796761373	0.0033417034485410113	12.0	0.001545197012619109	0.01834862385321101
NODE_0002900	NODE_0002901	Switzerland	France	2020.1746096784755	0.013782779811663204	6.0	0.0007725985063095545	0.017241379310344827
NODE_0002906	Canada/ON_PHL0743/2020	USA	Canada	2020.184426229508	0.0	2.0	0.0002575328354365182	0.02127659574468085
NODE_0002909	NODE_0002910	France	Belgium	2020.2000960800021	0.007832679769535389	14.0	0.0018027298480556271	0.013761467889908258
NODE_0002908	NODE_0002918	France	Belgium	2020.1830213484652	0.008494915078472332	44.0	0.0056657223796034	0.04128440366972477
NODE_0002932	Switzerland/GE5007/2020	USA	Switzerland	2020.26912568306	0.06060919849392121	4.0	0.0005150656708730364	0.020833333333333332
Japan/P3-1/2020_travel_history	Japan/P3-1/2020	Egypt	Japan	2020.1898907103825	0.0	1.0	0.0001287664177182591	0.02857142857142857
Japan/P3-2/2020_travel_history	Japan/P3-2/2020	Egypt	Japan	2020.2199453551912	0.0	1.0	0.0001287664177182591	0.02857142857142857
NODE_0003405	Turkey/HSGM-7718/2020	Israel	Turkey	2020.2226775956283	0.046617416960998526	30.0	0.0038629925315477724	0.07142857142857142
